,emotion
02-10,1084.9431050361009
05-11,1157.8804566351673
05-07,209.69488584731351
05-10,1422.2783561817832
05-06,273.51506849649587
05-09,1486.0985388309664
05-08,1440.5126940815499
05-03,1312.8723287831835
05-05,1321.9894977330669
05-04,1166.9976255850506
04-29,118.52319634848156
05-02,1012.0057534370346
05-01,446.74127854427655
04-27,911.7168949883195
04-30,136.75753424824796
04-26,884.3653881386699
04-25,811.4280365396044
04-28,820.5452054894876
04-24,811.4280365396044
04-19,2188.120547971981
04-20,1121.411780835634
04-23,145.87470319813116
04-22,255.28073059672948
04-18,2443.4012785687137
04-21,1002.8885844871514
04-17,2488.98712331813
04-14,1431.3955251316665
04-13,2908.3768950127624
04-16,200.57771689743032
04-12,2561.9244749171967
04-15,464.97561644404294
04-11,3045.134429261012
04-10,2425.166940668947
04-09,291.74940639626226
04-08,692.9048401911228
04-07,3127.1889498099617
04-06,2406.9326027691804
04-05,2953.962739762179
04-04,1012.0057534370346
04-03,966.4199086876187
03-31,1613.7389041293327
03-30,1832.550958926532
04-02,118.52319634848156
03-29,1996.6600000244316
04-01,373.803926945211
03-28,2534.5729680675468
03-27,2470.7527854183636
03-24,1832.550958926532
03-23,2115.1831963729146
03-26,255.28073059672948
03-22,2726.033516015096
03-25,547.0301369929917
03-21,2397.815433819297
03-20,2206.3548858717477
03-19,291.74940639626226
03-18,273.51506849649587
03-17,2215.472054821631
03-16,3446.2898630558775
03-15,2179.0033790220978
03-14,2343.1124201199973
03-13,2406.9326027691804
03-11,565.2644748927581
03-10,2416.0497717190638
03-09,2033.1286758239648
03-12,209.69488584731351
03-08,1969.3084931747817
03-07,2169.8862100722145
03-06,2024.0115068740815
03-05,164.10904109789755
03-03,2352.2295890698806
03-02,2188.120547971981
03-01,1969.3084931747817
03-04,556.1473059428749
02-28,1850.7852968262987
02-27,1859.902465776182
02-26,264.3978995466127
02-25,373.803926945211
02-24,1413.1611872319
02-23,1467.8642009311998
02-21,957.3027397377355
02-20,811.4280365396044
02-22,1303.7551598333002
02-19,100.28885844871517
02-18,63.8201826491824
02-17,747.607853890422
02-16,929.9512328880859
02-15,784.0765296899548
02-14,556.1473059428749
02-13,556.1473059428749
02-12,82.05452054894879
02-11,45.585844749416
